game,res,league,howmany,scores
Reading v Fulham,21,en2,298,1-2:0-2:1-1:1-3:0-1:2-2:0-3
Barnsley v Stoke,X,en2,277,1-2:1-1:0-2:0-1:1-0:2-1:1-3:0-0:2-0
Luton v Bournemouth,2,en2,319,1-2:1-3:1-1:0-2:0-1:2-1:2-2
Barnsley v Blackpool,X,en2,313,1-1:2-1:1-2:0-1:1-0:2-0:0-2:0-0
Cardiff v Blackburn,2,en2,314,1-2:1-1:0-2:0-1:2-1:1-3:2-0:2-2
Derby v Sheff Utd,X,en2,315,1-1:1-2:2-1:1-0:0-2:2-2:0-1:2-0
Fulham v Bristol City,10,en2,316,2-0:3-1:2-1:3-0:1-0:1-1
Huddersfield v Swansea,0,en2,317,2-1:1-1:2-0:1-0:1-2:0-1
Middlesbrough v Reading,10,en2,320,2-0:2-1:1-0:1-1:3-1:3-0
Millwall v Nottm Forest,X,en2,321,1-1:1-2:2-1:1-0:2-2:0-0:0-1:1-3
Peterborough v Coventry,2,en2,322,1-2:1-1:0-2:0-1:2-1:1-3:1-0:2-2
Preston v Birmingham,0,en2,323,2-1:1-1:2-0:1-2:1-0:0-1:2-2
QPR v West Brom,X,en2,324,1-1:2-1:1-2:2-2:1-0:2-0
Hull v Stoke,X,en2,318,1-2:1-1:2-1:1-0:0-1:2-0:0-2:0-0
Fulham v Birmingham,10,en2,280,2-0:2-1:3-0:3-1:1-0
Preston v Sheff Utd,X,en2,287,1-2:1-1:2-1:0-1:0-2:1-3:1-0:2-2
Hull v Blackburn,21,en2,282,1-2:0-2:1-1:1-3:2-1:0-1:1-0
Reading v Luton,X,en2,276,2-1:1-1:1-2:2-0:1-0:2-2
Southampton v Brentford,0,en,176,2-1:1-1:1-0:1-2:2-0:2-2:0-1
Everton v Leicester,2,en,172,1-2:1-1:2-1:1-3:0-2:2-2:0-1:1-0
West Ham v Norwich,10,en,179,2-0:3-0:3-1:2-1:4-0:1-0
Brighton v Crystal Palace,X,en,212,1-1:2-1:1-2:1-0:2-2:2-0:0-1
Man City v Chelsea,0,en,215,2-1:2-0:3-1:2-2:1-1:3-2:1-2:1-0
Burnley v Leicester,2,en,213,1-2:0-2:1-1:0-1:1-3:1-0:2-1
Newcastle v Watford,0,en,216,2-1:1-1:1-0:2-0:1-2:0-1
Norwich v Everton,2,en,217,1-2:0-2:0-1:1-1:1-0:1-3:2-1:0-0
Wolves v Southampton,0,en,220,2-1:1-0:2-0:1-1:1-2
Aston Villa v Man Utd,X,en,211,1-2:1-1:2-1:1-3:2-2:1-0:0-2:0-1
Liverpool v Brentford,10,en,214,3-0:2-0:3-1:2-1:4-0:1-0:4-1
West Ham v Leeds,10,en,219,2-1:2-0:3-1:2-2:1-1:1-0
Tottenham v Arsenal,X,en,218,1-1:1-2:2-2:2-1:1-3:1-0
Burnley v Watford,X,en,164,1-1:1-0:2-1:1-2:0-0:2-0:0-1:2-2
Brighton v Chelsea,21,en,232,1-2:0-2:1-3:1-1:0-1:0-3
Leicester v Tottenham,X,en,165,2-1:1-1:1-2:2-2:2-0:1-0
Brentford v Man Utd,2,en,162,1-2:0-2:1-1:1-3:0-1:2-1:2-2
Swindon v Man City,21,enf,175,0-3:0-4:0-5:1-3:0-2:1-4:0-6:1-2
Mansfield v Middlesbrough,21,enf,166,0-2:1-2:1-3:1-1:0-3:0-1
Bristol City v Fulham,21,enf,153,1-2:0-2:1-1:2-1:1-3:0-1
Burnley v Huddersfield,10,enf,154,2-0:2-1:1-0:1-1:3-1:1-2
Coventry v Derby,X,enf,158,2-1:1-1:2-0:1-0:1-2:0-1:3-1
Hartlepool v Blackpool,21,enf,159,1-2:0-2:1-1:0-1:1-3:2-1:1-0
Millwall v Crystal Palace,21,enf,167,1-2:1-3:0-2:2-1:0-1:1-1:2-2:1-0
Barnsley v Barrow,10,enf,150,2-0:1-0:2-1:3-0:3-1:1-1:1-2
Boreham Wood v Wimbledon,1,enf,152,0-2:1-2:0-1:2-1:1-3:1-1:1-0:0-3
Kidderminster v Reading,21,enf,161,0-2:1-2:1-3:0-3:0-1:1-1:1-4
Leicester v Watford,10,enf,162,2-1:2-0:3-1:1-1:1-0:3-0
Newcastle v Cambridge,10,enf,168,2-0:3-0:3-1:2-1:4-0
Peterborough v Bristol Rovers,X,enf,170,2-1:1-1:2-0:1-0:1-2:2-2:0-1:3-0
Port Vale v Brentford,21,enf,171,0-2:1-2:1-3:0-3:1-4:2-1
QPR v Rotherham,10,enf,172,2-1:2-0:1-0:3-1:1-2:3-0:0-1
West Brom v Brighton,X,enf,177,1-2:2-1:1-1:0-1:1-3:0-2:1-0:2-2
Wigan v Blackburn,X,enf,179,1-2:2-1:1-1:0-1:2-2:0-2:1-3:1-0
Birmingham v Plymouth,10,enf,151,2-0:2-1:1-0:1-2:1-1:3-1:3-0
Chelsea v Chesterfield,10,enf,157,4-0:3-0:5-0:2-0:3-1:4-1:6-0:5-1
Hull v Everton,21,enf,160,1-2:0-2:1-3:2-1:0-3:1-1:1-0:0-1
Swansea v Southampton,1,enf,174,1-2:1-3:2-1:0-2:1-1:0-1:2-2:1-0
Yeovil v Bournemouth,21,enf,181,0-2:0-3:1-2:1-3:0-1:0-4
Luton v Harrogate,10,enf,164,2-0:2-1:3-1:3-0:1-0:1-1:1-2
Cardiff v Preston,X,enf,155,2-1:1-1:2-0:1-2:1-0:0-1:2-2:3-1
