game,res,league,howmany,scores
Hull v Sheff Utd,X,en2,90,1-2:1-1:2-1:0-1:1-0:2-2:0-0:1-3
Barnsley v Blackburn,X,en2,85,1-1:2-1:1-2:1-0:0-1:2-0:2-2
Cardiff v Bournemouth,2,en2,86,1-2:1-1:1-3:2-2:2-1:0-1:0-2:1-0
Derby v Stoke,2,en2,87,1-2:1-1:0-1:0-2:1-0:2-1:1-3
Fulham v Reading,10,en2,88,2-0:3-0:3-1:2-1:1-0
Huddersfield v Nottm Forest,10,en2,89,2-0:2-1:1-0:1-2:1-1:3-0:0-1
Luton v Swansea,X,en2,91,1-1:2-1:1-2:1-0:0-0:0-1:0-2:2-0:1-3:2-2
Middlesbrough v Blackpool,10,en2,92,2-1:2-0:1-0:3-1:1-1:1-2:3-0:0-1
Millwall v Coventry,X,en2,93,1-1:2-1:1-0:1-2:0-1:2-2:1-3:2-0
Peterborough v Birmingham,2,en2,94,1-2:1-1:0-1:0-2:1-3:1-0:2-1
Preston v West Brom,21,en2,95,1-2:0-2:1-1:1-3:0-1:2-1
QPR v Bristol City,10,en2,96,2-0:2-1:3-1:1-1:1-0:1-2:3-0:2-2
Newcastle v Leeds,X,en,46,1-1:1-2:2-1:2-2:0-2:1-0:0-1:1-3
Wolves v Brentford,0,en,50,2-1:2-0:1-0:1-1
Burnley v Arsenal,X,en,43,1-2:1-1:0-1:0-2:1-0:2-1:1-3
Liverpool v Crystal Palace,10,en,44,3-0:2-0:3-1:2-1:4-0
Man City v Southampton,10,en,45,3-0:4-0:2-0:3-1:4-1:5-0:2-1
Norwich v Watford,X,en,47,1-1:2-1:1-0:1-2:0-0:0-1:2-0:2-2
Aston Villa v Everton,X,en,41,1-2:1-1:2-1:2-2:0-1:1-0:0-2
Brighton v Leicester,2,en,42,1-2:1-1:0-2:0-1:2-1:1-3:1-0
West Ham v Man Utd,21,en,49,1-2:1-3:2-2:1-1:0-2:2-1:2-3:0-3
Tottenham v Chelsea,2,en,48,1-2:0-2:1-3:1-1:2-2:0-1:2-1
Bournemouth v Southampton,1,enf,117,1-2:0-2:2-1:1-1:0-1:1-3:1-0
Everton v Man City,21,enf,119,1-3:1-2:0-2:2-1:1-0
Chelsea v Sheff Utd,10,enf,118,2-0:3-0:2-1:4-0:3-1:1-0
Leicester v Man Utd,1,enf,120,1-2:2-1:1-1:1-3:1-0:0-1:2-0:2-2:2-3
Chelsea v Man City,1,enf,121,1-2:1-3:2-1:1-1:0-1:0-2:1-0
Leicester v Southampton,10,enf,122,2-0:2-1:3-1:3-0:1-0
Chelsea v Leicester,1,enf,123,2-1:1-2:3-1:2-0:0-1:1-0:1-1:2-2
Strasbourg v Metz,X,fr,59,2-1:2-0:1-1:1-0:1-2:0-0:0-1:2-2:3-1
Lens v Lille,X,fr,53,1-1:2-1:1-2:0-1:0-2:1-3:0-0:1-0:2-0:2-2
Saint-Étienne v Bordeaux,X,fr,58,1-0:1-1:2-1:1-2:0-2:2-0:0-0:0-1:2-2
Nice v Monaco,X,fr,55,2-1:1-1:1-2:0-1:2-0:1-0:3-1:0-2:1-3:2-2:3-0
Angers v Nantes,X,fr,51,2-0:2-1:1-0:0-2:1-1:0-0:0-1:2-2:1-2:3-1
Clermont v Brest,X,fr,52,1-0:1-1:2-1:2-0:1-2:0-1:0-2
Reims v Lorient,X,fr,57,1-1:2-0:2-1:0-1:1-0:2-2:1-2:1-3:0-0:0-2
Troyes v Montpellier,2,fr,60,1-2:0-1:1-1:0-2:1-3:2-1:2-2
Marseille v Rennes,10,fr,54,2-1:2-0:1-0:1-1:1-2:3-0:3-1:0-0:0-1:2-2
PSG v Lyon,10,fr,56,3-1:2-1:2-0:3-0:0-1:1-1:1-0:1-2:2-2:3-2:4-1
Hertha Berlin v SpVgg Greuther Fürth,10,de,43,2-0:1-0:2-1:3-1:3-0:1-1:1-2
