game,res,league,howmany,scores
	        Hull v 	        QPR,X,en2,328,1-1:1-2:2-1:0-2:0-1:1-0:2-2:2-0
	        Middlesbrough v 	        Watford,X,en2,330,2-1:1-1:1-2:1-0:2-0:2-2
	        Preston v 	        Coventry,0,en2,333,2-0:2-1:1-0:1-1:0-1:1-2:0-0
Luton v Cardiff,10,en2,329,2-0:2-1:1-0:1-1:1-2
Chelsea v Fulham,10,en,214,2-1:2-0:1-1:1-0:3-1
Everton v Arsenal,21,en,215,0-2:0-3:1-3:1-2:1-1:0-4:0-1
Aston Villa v Leicester,0,en,211,2-1:1-1:1-0:2-0:1-2:2-2
Brentford v Southampton,10,en,212,2-1:2-0:1-0:1-1:3-1
Brighton v Bournemouth,10,en,213,2-0:2-1:3-0:3-1:1-0:1-1
Man Utd v Crystal Palace,10,en,216,2-0:2-1:3-1:3-0:1-0:1-1
Wolves v Liverpool,2,en,220,1-2:1-1:0-2:0-1:1-3:2-1:1-0
Newcastle v West Ham,10,en,217,2-0:2-1:1-0:1-1:3-1:3-0
Nottm Forest v Leeds,X,en,218,1-1:2-1:1-2:1-0:0-1:2-2:0-0
Tottenham v Man City,21,en,219,1-2:1-3:0-2:2-2:1-1:2-1:2-3
Man City v Arsenal,10,enf,121,2-1:2-0:2-2:1-1:3-1:1-2:3-2:1-0
Accrington v Leeds,21,enf,123,0-2:1-2:1-3:0-3:0-1
Walsall v Leicester,21,enf,117,0-2:1-2:1-3:0-3:0-1
Blackburn v Birmingham,10,enf,106,2-1:2-0:1-1:1-0:1-2
Bristol City v West Brom,X,enf,122,1-2:0-2:1-1:2-1:0-1:1-0:2-0:2-2:1-3
Fulham v Sunderland,10,enf,109,2-0:2-1:3-1:3-0:1-1:1-0
Ipswich v Burnley,2,enf,110,1-2:1-1:0-2:1-3:2-1:1-0:0-1:0-3
Luton v Grimsby,10,enf,116,2-0:3-0:2-1:1-0:3-1
Sheff Wed v Fleetwood,10,enf,113,2-0:2-1:3-0:3-1:1-0
Southampton v Blackpool,10,enf,114,2-0:2-1:3-0:1-0:3-1:1-2:0-1:1-1
Preston v Tottenham,21,enf,112,0-2:1-2:1-3:0-3:0-1:0-4:1-4
Man Utd v Reading,10,enf,111,3-0:2-0:4-0:3-1:4-1
Brighton v Liverpool,X,enf,107,1-2:2-1:1-1:2-2:0-1:1-0:3-1:0-2:2-0
Stoke v Stevenage,10,enf,115,2-0:2-1:1-0:1-1:3-1:1-2:3-0
Wrexham v Sheff Utd,21,enf,118,1-2:0-2:1-3:1-1:2-1:0-1:1-0:2-2:0-3
Derby v West Ham,1,enf,108,1-2:0-2:2-1:1-3:1-1:0-1:1-0:2-2
Lorient v Rennes,2,fr,195,1-2:1-1:0-1:1-3:1-0:2-0:2-1
Troyes v Lens,2,fr,200,1-2:1-1:0-2:0-1:1-3:1-0:2-1
Marseille v Monaco,0,fr,196,2-1:1-1:1-0:1-2:2-0:3-1:2-2:3-2
Nice v Lille,X,fr,197,1-1:1-2:2-1:2-2:0-0:0-2:1-0:0-1:2-0
Auxerre v Montpellier,X,fr,192,1-1:1-2:2-1:0-0:1-0:0-1:0-2:2-0
Brest v Angers,0,fr,193,1-0:1-1:2-1:2-0:1-2:0-0:0-1
Clermont v Nantes,X,fr,194,1-2:1-1:2-1:1-0:0-2:0-0:0-1:2-2
Strasbourg v Toulouse,X,fr,199,2-1:1-1:2-0:1-2:1-0:0-1:0-2:2-2
Ajaccio v Lyon,21,fr,191,0-2:1-2:1-3:0-3:0-1:1-1
PSG v Reims,10,fr,198,3-0:2-0:3-1:4-0:4-1:2-1:1-0
RB Leipzig v Stuttgart,10,de,159,2-0:3-1:2-1:1-0:3-0:4-1:1-2
Freiburg v Augsburg,0,de,160,2-1:2-0:1-1:1-0:3-1:1-2
Hertha Berlin v Union Berlin,2,de,158,1-2:1-1:0-2:2-2:0-1:1-3:2-1:1-0
Hoffenheim v B Mgladbach,X,de,162,1-1:1-2:2-1:1-0:0-1:2-2:2-0
Mainz v VfL Bochum,0,de,154,2-1:1-0:1-1:2-0:0-2:1-2
