game,res,league,howmany,scores
Birmingham v Blackburn,X,en2,541,1-1:2-1:1-2:0-2:2-2:0-1:1-0
Bournemouth v Millwall,0,en2,542,2-0:2-1:1-1:3-0:1-2:1-0:0-1
Derby v Cardiff,0,en2,543,2-1:1-1:1-0:2-0:1-2
Huddersfield v Bristol City,10,en2,544,2-0:2-1:3-1:1-1:1-0:1-2:2-2:3-0
Hull v Nottm Forest,21,en2,545,1-2:0-2:1-3:0-1:1-1:0-3
Luton v Reading,10,en2,546,2-0:2-1:1-0:1-1:3-1:3-0
Peterborough v Blackpool,X,en2,547,1-1:2-1:1-2:1-0:0-1:0-2:2-0:2-2
Preston v Middlesbrough,2,en2,548,1-2:1-1:0-1:0-2:2-1:2-2:1-0
Sheff Utd v Fulham,X,en2,549,1-1:2-1:1-2:1-0:2-2:2-0:1-3:0-1:0-2
Stoke v Coventry,0,en2,550,1-1:2-1:2-0:1-0:2-2:1-2:0-1
Swansea v QPR,0,en2,551,2-1:1-1:2-0:1-0:1-2:0-1:0-2:2-2:3-1
West Brom v Barnsley,10,en2,552,2-0:2-1:3-0:1-0:3-1:1-1
Brentford v Southampton,X,en,352,2-1:1-1:2-0:1-2:1-0:2-2:0-1
Burnley v Aston Villa,X,en,354,1-1:2-1:1-0:1-2:0-1:0-2:2-0:2-2
Chelsea v Wolves,10,en,355,2-0:2-1:3-0:1-0:3-1:1-1
Crystal Palace v Watford,10,en,356,2-0:2-1:1-0:3-1:1-1:3-0
Brighton v Man Utd,X,en,353,1-2:1-1:2-1:0-2:1-3:1-0:0-1:2-2
Liverpool v Tottenham,10,en,358,2-1:3-1:2-0:2-2:3-2:1-1:3-0:1-0
Arsenal v Leeds,10,en,351,2-0:2-1:3-1:3-0:1-1:1-0
Leicester v Everton,X,en,357,1-1:2-1:1-2:2-0:1-0:0-1:2-2
Norwich v West Ham,21,en,360,0-2:1-2:0-1:1-1:1-3:0-3:1-0
Man City v Newcastle,10,en,359,3-0:2-0:3-1:2-1:4-0:1-1:4-1:1-0
Aston Villa v Liverpool,21,en,321,0-2:1-2:1-3:0-3:0-1:1-1
Leeds v Chelsea,21,en,323,1-2:0-2:1-1:1-3:0-1:2-1:0-3:2-2:1-0
Leicester v Norwich,10,en,207,2-0:3-0:2-1:1-0:3-1:1-1
Watford v Everton,X,en,299,1-1:1-2:0-1:2-1:1-0:0-2:2-2:0-0
Wolves v Man City,21,en,330,0-2:1-3:1-2:0-3:1-1:0-1:1-4
Tottenham v Arsenal,X,en,218,1-1:2-1:2-2:1-2:1-0
Middlesbrough v Chelsea,21,enf,207,1-2:1-3:0-2:0-3:0-1:2-1
Crystal Palace v Everton,1,enf,206,2-1:2-0:1-2:1-0:0-1:1-1:3-1
Southampton v Man City,21,enf,208,1-2:1-3:0-2:0-3:0-1:1-0:2-1
Nottm Forest v Liverpool,21,enf,209,0-2:1-3:1-2:0-3:0-4:0-1:1-4
Man City v Liverpool,X,enf,211,2-1:1-2:1-1:2-2:2-3:1-0:3-1
Chelsea v Crystal Palace,10,enf,210,2-1:2-0:3-1:1-0:1-2:3-0
Chelsea v Liverpool,1,enf,212,1-2:1-3:2-1:0-2:1-0:1-1:3-1:0-1:3-2
Lille v Monaco,X,fr,354,1-1:1-2:2-1:2-0:0-0:0-1:1-0:0-2:1-3:2-2
Brest v Strasbourg,X,fr,352,1-2:1-1:0-1:2-0:0-2:2-1:2-2:0-0:1-0
Metz v Lyon,21,fr,356,1-2:0-2:0-3:1-3:1-1:2-1:0-1:0-0
Angers v Bordeaux,X,fr,351,1-1:0-1:1-2:2-1:2-0:1-0:0-0:0-2
Clermont v Montpellier,X,fr,353,1-1:1-0:1-2:2-1:0-1:2-2:0-2:1-3:2-0
Reims v Lens,X,fr,360,1-1:1-2:0-1:2-1:1-0:2-0:2-2:3-1:0-2
Lorient v Marseille,21,fr,355,1-2:1-3:0-1:1-1:0-2:1-0:0-0
